DATE,AVERAGE_DAILY_USAGE,isweekend,season_Fall,season_Summer,season_Winter,season_Spring,maxtp,mintp,rain,wdsp,Unnamed: 0,isholiday
2018-08-01,81.26363636363638,0,0.0,1.0,0.0,0.0,18.5,11.9,5.8,8.2,212,0
2018-08-02,152.64545454545456,0,0.0,1.0,0.0,0.0,24.5,17.0,0.2,6.4,213,0
2018-08-03,141.73636363636362,0,0.0,1.0,0.0,0.0,24.0,14.4,0.7,6.7,214,0
2018-08-04,91.65454545454546,1,0.0,1.0,0.0,0.0,21.6,12.0,0.0,5.1,215,0
2018-08-05,79.64545454545456,1,0.0,1.0,0.0,0.0,24.2,12.1,0.0,5.1,216,0
2018-08-06,77.74545454545455,0,0.0,1.0,0.0,0.0,22.6,13.9,0.6,6.9,217,1
2018-08-07,140.11818181818182,0,0.0,1.0,0.0,0.0,18.1,11.5,0.0,7.3,218,0
2018-08-08,151.71818181818182,0,0.0,1.0,0.0,0.0,19.6,10.2,0.1,9.6,219,0
2018-08-09,153.66363636363639,0,0.0,1.0,0.0,0.0,18.6,7.8,0.0,7.3,220,0
2018-08-10,148.97272727272727,0,0.0,1.0,0.0,0.0,18.7,6.5,0.0,8.0,221,0
2018-08-11,89.14545454545454,1,0.0,1.0,0.0,0.0,18.5,3.9,0.1,6.6,222,0
2018-08-12,75.04545454545455,1,0.0,1.0,0.0,0.0,19.9,15.2,2.1,4.4,223,0
2018-08-13,143.17272727272731,0,0.0,1.0,0.0,0.0,19.2,13.1,0.2,8.9,224,0
2018-08-14,149.61818181818182,0,0.0,1.0,0.0,0.0,21.6,14.4,0.0,9.7,225,0
2018-08-15,144.9363636363636,0,0.0,1.0,0.0,0.0,23.2,12.8,1.4,10.2,226,0
2018-08-16,144.88181818181818,0,0.0,1.0,0.0,0.0,19.0,10.7,1.4,9.6,227,0
2018-08-17,137.74545454545455,0,0.0,1.0,0.0,0.0,17.2,11.8,2.2,10.4,228,0
2018-08-18,97.91818181818182,1,0.0,1.0,0.0,0.0,25.1,15.4,1.0,9.4,229,0
2018-08-19,77.73636363636362,1,0.0,1.0,0.0,0.0,20.8,15.4,0.5,9.5,230,0
2018-08-20,138.48648648648648,0,0.0,1.0,0.0,0.0,20.0,14.8,2.5,4.3,231,0
2018-08-21,147.27678571428572,0,0.0,1.0,0.0,0.0,24.3,14.3,0.0,6.2,232,0
2018-08-22,145.99107142857142,0,0.0,1.0,0.0,0.0,19.0,8.7,1.2,9.5,233,0
2018-08-23,144.73214285714286,0,0.0,1.0,0.0,0.0,17.0,9.2,4.2,11.1,234,0
2018-08-24,135.77678571428572,0,0.0,1.0,0.0,0.0,15.2,8.2,6.9,11.5,235,0
2018-08-25,68.44642857142857,1,0.0,1.0,0.0,0.0,17.6,6.6,0.0,8.7,236,0
